Sample_ID,Length_nm,Width_nm,Temp_C,Freq_rad_s,G1_Pa,G2_Pa,c,Mn,Mw
409A,30,22.2,15,0.01,0.087712,0.047904,0.06,1396000,1389000
409A,30,22.2,15,0.0147,2.24E-06,0.044718,0.06,1396000,1389000
409A,30,22.2,15,0.0215,0.04642,0.037626,0.06,1396000,1389000
409A,30,22.2,15,0.0316,0.025245,0.0066915,0.06,1396000,1389000
409A,30,22.2,15,0.0464,0.048818,0.027838,0.06,1396000,1389000
409A,30,22.2,15,0.0681,0.022228,0.007727,0.06,1396000,1389000
409A,30,22.2,15,0.1,0.0065286,0.010985,0.06,1396000,1389000
409A,30,22.2,15,0.147,0.015412,0.0037208,0.06,1396000,1389000
409A,30,22.2,15,0.215,0.039229,0.029435,0.06,1396000,1389000
409A,30,22.2,15,0.316,0.0063606,0.0256,0.06,1396000,1389000
409A,30,22.2,15,0.464,7.14E-07,0.014276,0.06,1396000,1389000
409A,30,22.2,15,0.681,0.024838,0.04836,0.06,1396000,1389000
409A,30,22.2,15,1,0.0087799,0.074558,0.06,1396000,1389000
409A,30,22.2,15,1.47,0.024903,0.13713,0.06,1396000,1389000
409A,30,22.2,15,2.15,0.02731,0.19711,0.06,1396000,1389000
409A,30,22.2,15,3.16,0.022413,0.27726,0.06,1396000,1389000
409A,30,22.2,15,4.64,2.05E-05,0.41091,0.06,1396000,1389000
409A,30,22.2,15,6.81,3.18E-05,0.63502,0.06,1396000,1389000
409A,30,22.2,15,10,4.94E-05,0.98848,0.06,1396000,1389000
409A,30,22.2,15,14.7,9.29E-05,1.8581,0.06,1396000,1389000
409A,30,22.2,15,21.5,0.00014986,2.9972,0.06,1396000,1389000
409A,30,22.2,15,31.6,0.0002943,5.8861,0.06,1396000,1389000
409A,30,22.2,15,46.4,0.00061897,12.379,0.06,1396000,1389000
409A,30,22.2,15,68.1,0.0013672,27.344,0.06,1396000,1389000
409A,30,22.2,15,100,0.0032027,64.053,0.06,1396000,1389000
409A,30,22.2,20,0.01,0.15177,7.59E-06,0.06,1396000,1389000
409A,30,22.2,20,0.0147,0.11332,0.029704,0.06,1396000,1389000
409A,30,22.2,20,0.0215,0.058179,0.050242,0.06,1396000,1389000
409A,30,22.2,20,0.0316,0.036853,0.06163,0.06,1396000,1389000
409A,30,22.2,20,0.0464,0.10444,0.0066948,0.06,1396000,1389000
409A,30,22.2,20,0.0681,0.11653,0.0089443,0.06,1396000,1389000
409A,30,22.2,20,0.1,0.066355,0.014875,0.06,1396000,1389000
409A,30,22.2,20,0.147,1.40E-06,0.028045,0.06,1396000,1389000
409A,30,22.2,20,0.215,0.018831,0.039388,0.06,1396000,1389000
409A,30,22.2,20,0.316,0.060068,0.022146,0.06,1396000,1389000
409A,30,22.2,20,0.464,0.015357,0.045572,0.06,1396000,1389000
409A,30,22.2,20,0.681,0.052055,0.073456,0.06,1396000,1389000
409A,30,22.2,20,1,0.045882,0.083481,0.06,1396000,1389000
409A,30,22.2,20,1.47,0.041884,0.127,0.06,1396000,1389000
409A,30,22.2,20,2.15,0.051909,0.16079,0.06,1396000,1389000
409A,30,22.2,20,3.16,0.05884,0.24986,0.06,1396000,1389000
409A,30,22.2,20,4.64,0.11706,0.37625,0.06,1396000,1389000
409A,30,22.2,20,6.81,0.097315,0.58033,0.06,1396000,1389000
409A,30,22.2,20,10,0.027803,0.95145,0.06,1396000,1389000
409A,30,22.2,20,14.7,0.10018,1.6938,0.06,1396000,1389000
409A,30,22.2,20,21.5,7.36E-05,1.4722,0.06,1396000,1389000
409A,30,22.2,20,31.6,0.00013402,2.6805,0.06,1396000,1389000
409A,30,22.2,20,46.4,0.00025845,5.169,0.06,1396000,1389000
409A,30,22.2,20,68.1,0.00056147,11.229,0.06,1396000,1389000
409A,30,22.2,20,100,0.0014999,29.999,0.06,1396000,1389000
409A,30,22.2,25,0.01,0.070778,0.020484,0.06,1396000,1389000
409A,30,22.2,25,0.0147,5.04E-06,0.10089,0.06,1396000,1389000
409A,30,22.2,25,0.0215,7.83E-07,0.015666,0.06,1396000,1389000
409A,30,22.2,25,0.0316,1.56E-06,0.031147,0.06,1396000,1389000
409A,30,22.2,25,0.0464,1.11E-06,0.022234,0.06,1396000,1389000
409A,30,22.2,25,0.0681,1.71E-06,0.034107,0.06,1396000,1389000
409A,30,22.2,25,0.1,1.05E-06,0.020962,0.06,1396000,1389000
409A,30,22.2,25,0.147,2.91E-06,0.058263,0.06,1396000,1389000
409A,30,22.2,25,0.215,1.30E-06,0.025951,0.06,1396000,1389000
409A,30,22.2,25,0.316,3.09E-06,0.061861,0.06,1396000,1389000
409A,30,22.2,25,0.464,4.07E-06,0.081396,0.06,1396000,1389000
409A,30,22.2,25,0.681,5.28E-06,0.1057,0.06,1396000,1389000
409A,30,22.2,25,1,4.34E-06,0.086818,0.06,1396000,1389000
409A,30,22.2,25,1.47,8.95E-06,0.17905,0.06,1396000,1389000
409A,30,22.2,25,2.15,1.12E-05,0.2243,0.06,1396000,1389000
409A,30,22.2,25,3.16,1.52E-05,0.3031,0.06,1396000,1389000
