Sample_ID,Length_nm,Width_nm,Temp_C,Freq_rad_s,G1_Pa,G2_Pa,tan_delta,flag_suspicious,sample_weight
409A,30,22.2,15,0.01,0.087712,0.047904,0.5461510397665086,False,1.0
409A,30,22.2,15,0.0147,2.24e-06,0.044718,19963.392857142855,True,0.01
409A,30,22.2,15,0.0215,0.04642,0.037626,0.8105557949159844,False,1.0
409A,30,22.2,15,0.0316,0.025245,0.0066915,0.26506238859180037,False,1.0
409A,30,22.2,15,0.0464,0.048818,0.027838,0.5702404850669835,False,1.0
409A,30,22.2,15,0.0681,0.022228,0.007727,0.34762461759942415,False,1.0
409A,30,22.2,15,0.1,0.0065286,0.010985,1.6825965750696934,False,1.0
409A,30,22.2,15,0.147,0.015412,0.0037208,0.24142226836231506,False,1.0
409A,30,22.2,15,0.215,0.039229,0.029435,0.7503377603303678,False,1.0
409A,30,22.2,15,0.316,0.0063606,0.0256,4.024777536710373,False,1.0
409A,30,22.2,15,0.464,7.14e-07,0.014276,19994.397759103642,True,0.01
409A,30,22.2,15,0.681,0.024838,0.04836,1.9470166680086964,False,1.0
409A,30,22.2,15,1.0,0.0087799,0.074558,8.491896263055388,False,1.0
409A,30,22.2,15,1.47,0.024903,0.13713,5.506565474039272,False,1.0
409A,30,22.2,15,2.15,0.02731,0.19711,7.217502746246796,False,1.0
409A,30,22.2,15,3.16,0.022413,0.27726,12.370499263820106,False,1.0
409A,30,22.2,15,4.64,2.05e-05,0.41091,20044.39024390244,True,0.01
409A,30,22.2,15,6.81,3.18e-05,0.63502,19969.18238993711,True,0.01
409A,30,22.2,15,10.0,4.94e-05,0.98848,20009.716599190284,True,0.01
409A,30,22.2,15,14.7,9.29e-05,1.8581,20001.076426264804,True,0.01
409A,30,22.2,15,21.5,0.00014986,2.9972,20000.0,True,0.01
409A,30,22.2,15,31.6,0.0002943,5.8861,20000.339789330614,True,0.01
409A,30,22.2,15,46.4,0.00061897,12.379,19999.353765125932,True,0.01
409A,30,22.2,15,68.1,0.0013672,27.344,20000.0,True,0.01
409A,30,22.2,15,100.0,0.0032027,64.053,19999.687763449587,True,0.01
409A,30,22.2,20,0.01,0.15177,7.59e-06,5.0009883376161305e-05,False,1.0
409A,30,22.2,20,0.0147,0.11332,0.029704,0.262124955877162,False,1.0
409A,30,22.2,20,0.0215,0.058179,0.050242,0.8635762044724041,False,1.0
409A,30,22.2,20,0.0316,0.036853,0.06163,1.6723197568718966,False,1.0
409A,30,22.2,20,0.0464,0.10444,0.0066948,0.06410187667560321,False,1.0
409A,30,22.2,20,0.0681,0.11653,0.0089443,0.07675534197202438,False,1.0
409A,30,22.2,20,0.1,0.066355,0.014875,0.2241730088162158,False,1.0
409A,30,22.2,20,0.147,1.4e-06,0.028045,20032.14285714286,True,0.01
409A,30,22.2,20,0.215,0.018831,0.039388,2.0916573734799,False,1.0
409A,30,22.2,20,0.316,0.060068,0.022146,0.3686821602184191,False,1.0
409A,30,22.2,20,0.464,0.015357,0.045572,2.967506674480693,False,1.0
409A,30,22.2,20,0.681,0.052055,0.073456,1.411122850830852,False,1.0
409A,30,22.2,20,1.0,0.045882,0.083481,1.8194716882437558,False,1.0
409A,30,22.2,20,1.47,0.041884,0.127,3.0321841275904884,False,1.0
409A,30,22.2,20,2.15,0.051909,0.16079,3.097536072742684,False,1.0
409A,30,22.2,20,3.16,0.05884,0.24986,4.24643099932019,False,1.0
409A,30,22.2,20,4.64,0.11706,0.37625,3.214163676746967,False,1.0
409A,30,22.2,20,6.81,0.097315,0.58033,5.963417767045163,False,1.0
409A,30,22.2,20,10.0,0.027803,0.95145,34.22112721648743,False,1.0
409A,30,22.2,20,14.7,0.10018,1.6938,16.90756638051507,False,1.0
409A,30,22.2,20,21.5,7.36e-05,1.4722,20002.717391304348,True,0.01
409A,30,22.2,20,31.6,0.00013402,2.6805,20000.746157289956,True,0.01
409A,30,22.2,20,46.4,0.00025845,5.169,19999.999999999996,True,0.01
409A,30,22.2,20,68.1,0.00056147,11.229,19999.287584376725,True,0.01
409A,30,22.2,20,100.0,0.0014999,29.999,20000.666711114074,True,0.01
409A,30,22.2,25,0.01,0.070778,0.020484,0.28941196416965725,False,1.0
409A,30,22.2,25,0.0147,5.04e-06,0.10089,20017.85714285714,True,0.01
409A,30,22.2,25,0.0215,7.83e-07,0.015666,20007.66283524904,True,0.01
409A,30,22.2,25,0.0316,1.56e-06,0.031147,19966.02564102564,True,0.01
409A,30,22.2,25,0.0464,1.11e-06,0.022234,20030.630630630632,True,0.01
409A,30,22.2,25,0.0681,1.71e-06,0.034107,19945.614035087718,True,0.01
409A,30,22.2,25,0.1,1.05e-06,0.020962,19963.809523809527,True,0.01
409A,30,22.2,25,0.147,2.91e-06,0.058263,20021.649484536083,True,0.01
409A,30,22.2,25,0.215,1.3e-06,0.025951,19962.30769230769,True,0.01
409A,30,22.2,25,0.316,3.09e-06,0.061861,20019.741100323623,True,0.01
409A,30,22.2,25,0.464,4.07e-06,0.081396,19999.0171990172,True,0.01
409A,30,22.2,25,0.681,5.28e-06,0.1057,20018.939393939392,True,0.01
409A,30,22.2,25,1.0,4.34e-06,0.086818,20004.14746543779,True,0.01
409A,30,22.2,25,1.47,8.95e-06,0.17905,20005.586592178766,True,0.01
409A,30,22.2,25,2.15,1.12e-05,0.2243,20026.785714285714,True,0.01
409A,30,22.2,25,3.16,1.52e-05,0.3031,19940.78947368421,True,0.01
409A,30,22.2,25,4.64,2e-05,0.40052,20025.999999999996,True,0.01
409A,30,22.2,25,6.81,3.32e-05,0.66411,20003.313253012046,True,0.01
409A,30,22.2,25,10.0,5.28e-05,1.0568,20015.151515151512,True,0.01
409A,30,22.2,25,14.7,9.55e-05,1.9106,20006.28272251309,True,0.01
409A,30,22.2,25,21.5,0.00014909,2.9819,20000.670735797168,True,0.01
409A,30,22.2,25,31.6,0.00030331,6.0662,20000.0,True,0.01
409A,30,22.2,25,46.4,0.00067551,13.51,19999.703927403,True,0.01
